Tanggal,Meninggal (Jakarta),Sembuh (Jakarta),Self-Isolation (Jakarta),Dirawat (Jakarta),Positif (Jakarta),Positif Aktif (Jakarta),Meninggal Harian (Jakarta),Sembuh Harian (Jakarta),Self-Isolation Harian (Jakarta),Dirawat Harian (Jakarta),Positif Harian (Jakarta),Positif Aktif Harian (Jakarta)
29/01/2020 ,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2020 ,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020 ,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020 ,1,0,0,2,3,2,1,0,0,2,3,2
04/03/2020 ,1,0,0,2,3,2,0,0,0,0,0,0
05/03/2020 ,3,0,0,4,7,4,2,0,0,2,4,2
06/03/2020 ,3,0,0,4,7,4,0,0,0,0,0,0
07/03/2020 ,3,0,0,4,7,4,0,0,0,0,0,0
08/03/2020 ,3,0,0,4,7,4,0,0,0,0,0,0
09/03/2020 ,3,0,0,31,34,31,0,0,0,27,27,27
10/03/2020 ,3,0,0,31,34,31,0,0,0,0,0,0
11/03/2020 ,3,0,0,33,36,33,0,0,0,2,2,2
12/03/2020 ,5,0,0,57,62,57,2,0,0,24,26,24
13/03/2020 ,7,0,0,65,72,65,2,0,0,8,10,8
14/03/2020 ,9,0,0,70,79,70,2,0,0,5,7,5
15/03/2020 ,11,0,0,84,95,84,2,0,0,14,16,14
16/03/2020 ,12,0,7,78,97,85,1,0,7,-6,2,1
17/03/2020 ,12,0,27,83,122,110,0,0,20,5,25,25
18/03/2020 ,15,12,42,91,160,133,3,12,15,8,38,23
19/03/2020 ,19,13,57,121,210,178,4,1,15,30,50,45
20/03/2020 ,20,13,66,125,224,191,1,0,9,4,14,13
21/03/2020 ,23,17,71,157,268,228,3,4,5,32,44,37
22/03/2020 ,29,21,77,177,304,254,6,4,6,20,36,26
23/03/2020 ,29,22,79,225,355,304,0,1,2,48,51,50
24/03/2020 ,34,23,109,260,426,369,5,1,30,35,71,65
25/03/2020 ,43,27,112,290,472,402,9,4,3,30,46,33
26/03/2020 ,49,29,113,324,515,437,6,2,1,34,43,35
27/03/2020 ,57,31,132,346,566,478,8,2,19,22,51,41
28/03/2020 ,62,43,134,364,603,498,5,12,2,18,37,20
29/03/2020 ,67,48,151,435,701,586,5,5,17,71,98,88
30/03/2020 ,78,49,151,449,727,600,11,1,0,14,26,14
31/03/2020 ,84,49,157,451,741,608,6,0,6,2,14,8
01/04/2020 ,90,51,176,499,816,675,6,2,19,48,75,67
02/04/2020 ,95,54,195,565,909,760,5,3,19,66,93,85
03/04/2020 ,98,56,209,627,990,836,3,2,14,62,81,76
04/04/2020 ,99,58,223,691,"1,071",914,1,2,14,64,81,78
05/04/2020 ,123,64,279,685,"1,151",964,24,6,56,-6,80,50
06/04/2020 ,131,68,317,783,"1,299","1,100",8,4,38,98,148,136
07/04/2020 ,141,69,338,895,"1,443","1,233",10,1,21,112,144,133
08/04/2020 ,144,75,357,976,"1,552","1,333",3,6,19,81,109,100
09/04/2020 ,155,82,405,"1,077","1,719","1,482",11,7,48,101,167,149
10/04/2020 ,156,82,433,"1,139","1,810","1,572",1,0,28,62,91,90
11/04/2020 ,168,142,441,"1,152","1,903","1,593",12,60,8,13,93,21
12/04/2020 ,195,142,468,"1,277","2,082","1,745",27,0,27,125,179,152
13/04/2020 ,209,142,521,"1,370","2,242","1,891",14,0,53,93,160,146
14/04/2020 ,243,163,558,"1,385","2,349","1,943",34,21,37,15,107,52
15/04/2020 ,246,164,613,"1,424","2,447","2,037",3,1,55,39,98,94
16/04/2020 ,248,202,619,"1,601","2,670","2,220",2,38,6,177,223,183
17/04/2020 ,250,203,643,"1,727","2,823","2,370",2,1,24,126,153,150
18/04/2020 ,257,206,670,"1,769","2,902","2,439",7,3,27,42,79,69
19/04/2020 ,292,207,695,"1,839","3,033","2,534",35,1,25,70,131,95
20/04/2020 ,297,237,752,"1,826","3,112","2,578",5,30,57,-13,79,44
21/04/2020 ,305,286,753,"1,935","3,279","2,688",8,49,1,109,167,110
22/04/2020 ,308,291,815,"1,985","3,399","2,800",3,5,62,50,120,112
23/04/2020 ,316,292,888,"2,010","3,506","2,898",8,1,73,25,107,98
24/04/2020 ,331,327,959,"1,988","3,605","2,947",15,35,71,-22,99,49
25/04/2020 ,350,334,"1,050","1,947","3,681","2,997",19,7,91,-41,76,50
26/04/2020 ,357,338,"1,099","1,952","3,746","3,051",7,4,49,5,65,54
27/04/2020 ,375,338,"1,169","1,950","3,832","3,119",18,0,70,-2,86,68
28/04/2020 ,379,341,"1,206","2,024","3,950","3,230",4,3,37,74,118,111
29/04/2020 ,381,412,"1,238","2,002","4,033","3,240",2,71,32,-22,83,10
30/04/2020 ,381,412,"1,272","2,073","4,138","3,345",0,0,34,71,105,105
01/05/2020 ,393,427,"1,312","2,151","4,283","3,463",12,15,40,78,145,118
02/05/2020 ,400,562,"1,304","2,089","4,355","3,393",7,135,-8,-62,72,-70
03/05/2020 ,410,622,"1,323","2,062","4,417","3,385",10,60,19,-27,62,-8
04/05/2020 ,412,650,"1,330","2,080","4,472","3,410",2,28,7,18,55,25
05/05/2020 ,414,711,"1,370","2,146","4,641","3,516",2,61,40,66,169,106
06/05/2020 ,420,713,"1,381","2,195","4,709","3,576",6,2,11,49,68,60
07/05/2020 ,430,718,"1,431","2,196","4,775","3,627",10,5,50,1,66,51
08/05/2020 ,431,763,"1,426","2,281","4,901","3,707",1,45,-5,85,126,80
09/05/2020 ,437,767,"1,442","2,312","4,958","3,754",6,4,16,31,57,47
10/05/2020 ,444,803,"1,533","2,360","5,140","3,893",7,36,91,48,182,139
11/05/2020 ,453,836,"1,648","2,258","5,195","3,906",9,33,115,-102,55,13
12/05/2020 ,457,"1,262","1,741","1,843","5,303","3,584",4,426,93,-415,108,-322
13/05/2020 ,461,"1,277","1,866","1,833","5,437","3,699",4,15,125,-10,134,115
14/05/2020 ,466,"1,279","1,995","1,877","5,617","3,872",5,2,129,44,180,173
15/05/2020 ,474,"1,286","2,019","1,900","5,679","3,919",8,7,24,23,62,47
16/05/2020 ,475,"1,292","2,120","1,908","5,795","4,028",1,6,101,8,116,109
17/05/2020 ,478,"1,295","2,217","1,932","5,922","4,149",3,3,97,24,127,121
18/05/2020 ,483,"1,301","2,266","1,946","5,996","4,212",5,6,49,14,74,63
19/05/2020 ,487,"1,417","2,213","1,936","6,053","4,149",4,116,-53,-10,57,-63
20/05/2020 ,493,"1,425","2,263","1,969","6,150","4,232",6,8,50,33,97,83
21/05/2020 ,498,"1,536","2,231","1,955","6,220","4,186",5,111,-32,-14,70,-46
22/05/2020 ,501,"1,558","2,282","1,975","6,316","4,257",3,22,51,20,96,71
23/05/2020 ,504,"1,587","2,346","2,006","6,443","4,352",3,29,64,31,127,95
24/05/2020 ,505,"1,594","2,431","2,031","6,561","4,462",1,7,85,25,118,110
25/05/2020 ,506,"1,648","2,430","2,044","6,628","4,474",1,54,-1,13,67,12
26/05/2020 ,508,"1,678","2,459","2,044","6,689","4,503",2,30,29,0,61,29
27/05/2020 ,510,"1,698","2,584","2,034","6,826","4,618",2,20,125,-10,137,115
28/05/2020 ,514,"1,719","2,641","2,055","6,929","4,696",4,21,57,21,103,78
29/05/2020 ,517,"1,807","2,722","2,007","7,053","4,729",3,88,81,-48,124,33
30/05/2020 ,519,"2,003","2,781","1,848","7,151","4,629",2,196,59,-159,98,-100
31/05/2020 ,520,"2,102","2,827","1,823","7,272","4,650",1,99,46,-25,121,21
01/06/2020 ,521,"2,246","2,822","1,794","7,383","4,616",1,144,-5,-29,111,-34
02/06/2020 ,525,"2,405","2,786","1,743","7,459","4,529",4,159,-36,-51,76,-87
03/06/2020 ,529,"2,534","2,777","1,699","7,539","4,476",4,129,-9,-44,80,-53
04/06/2020 ,530,"2,607","2,793","1,670","7,600","4,463",1,73,16,-29,61,-13
